,index,track,rank,date
0,47,(Hot S**t) Country Grammar,100.0,2000-04-29
1,364,(Hot S**t) Country Grammar,99.0,2000-05-06
2,681,(Hot S**t) Country Grammar,96.0,2000-05-13
3,998,(Hot S**t) Country Grammar,76.0,2000-05-20
4,1315,(Hot S**t) Country Grammar,55.0,2000-05-27
5,1632,(Hot S**t) Country Grammar,37.0,2000-06-03
6,1949,(Hot S**t) Country Grammar,24.0,2000-06-10
7,2266,(Hot S**t) Country Grammar,24.0,2000-06-17
8,2583,(Hot S**t) Country Grammar,30.0,2000-06-24
9,2900,(Hot S**t) Country Grammar,36.0,2000-07-01
10,3217,(Hot S**t) Country Grammar,37.0,2000-07-08
11,3534,(Hot S**t) Country Grammar,30.0,2000-07-15
12,3851,(Hot S**t) Country Grammar,23.0,2000-07-22
13,4168,(Hot S**t) Country Grammar,21.0,2000-07-29
14,4485,(Hot S**t) Country Grammar,17.0,2000-08-05
15,4802,(Hot S**t) Country Grammar,17.0,2000-08-12
16,5119,(Hot S**t) Country Grammar,15.0,2000-08-19
17,5436,(Hot S**t) Country Grammar,11.0,2000-08-26
18,5753,(Hot S**t) Country Grammar,11.0,2000-09-02
19,6070,(Hot S**t) Country Grammar,10.0,2000-09-09
20,6387,(Hot S**t) Country Grammar,7.0,2000-09-16
21,6704,(Hot S**t) Country Grammar,7.0,2000-09-23
22,7021,(Hot S**t) Country Grammar,8.0,2000-09-30
23,7338,(Hot S**t) Country Grammar,10.0,2000-10-07
24,7655,(Hot S**t) Country Grammar,11.0,2000-10-14
25,7972,(Hot S**t) Country Grammar,12.0,2000-10-21
26,8289,(Hot S**t) Country Grammar,12.0,2000-10-28
27,8606,(Hot S**t) Country Grammar,17.0,2000-11-04
28,8923,(Hot S**t) Country Grammar,19.0,2000-11-11
29,9240,(Hot S**t) Country Grammar,23.0,2000-11-18
30,9557,(Hot S**t) Country Grammar,33.0,2000-11-25
31,9874,(Hot S**t) Country Grammar,37.0,2000-12-02
32,10191,(Hot S**t) Country Grammar,36.0,2000-12-09
33,10508,(Hot S**t) Country Grammar,49.0,2000-12-16
34,292,3 Little Words,97.0,2000-06-03
35,609,3 Little Words,97.0,2000-06-10
36,926,3 Little Words,89.0,2000-06-17
