,year,artist.inverted,track,time,genre
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock
1,2000,Santana,"Maria, Maria",4:18,Rock
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock
3,2000,Madonna,Music,3:45,Rock
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock
5,2000,Janet,Doesn't Really Matter,4:17,Rock
6,2000,Destiny's Child,Say My Name,4:31,Rock
7,2000,"Iglesias, Enrique",Be With You,3:36,Latin
8,2000,Sisqo,Incomplete,3:52,Rock
9,2000,Lonestar,Amazed,4:25,Country
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock
12,2000,Vertical Horizon,Everything You Want,4:01,Rock
13,2000,Creed,With Arms Wide Open,3:52,Rock
14,2000,Aaliyah,Try Again,4:03,Rock
15,2000,matchbox twenty,Bent,4:12,Rock
16,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock
17,2000,"Hill, Faith",Breathe,4:04,Rap
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock
19,2000,Dream,He Loves U Not,3:43,Rock
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock
21,2000,"Anthony, Marc",You Sang To Me,3:50,Latin
22,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock
23,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock
24,2000,3 Doors Down,Kryptonite,3:53,Rock
25,2000,Sisqo,Thong Song,4:05,Rock
26,2000,"Aguilera, Christina",I Turn To You,4:00,Rock
27,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock
28,2000,Joe,I Wanna Know,4:57,Rock
29,2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap
30,2000,N'Sync,Bye Bye Bye,3:15,Rock
31,2000,Eminem,The Real Slim Shady,4:42,Rap
32,2000,Pink,Most Girls,4:06,Rock
33,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock
34,2000,Blaque,Bring It All To Me,3:46,Pop
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap
36,2000,"Gray, Macy",I Try,3:52,Rock
37,2000,N'Sync,This I Promise You,4:23,Rock
38,2000,Ruff Endz,No More,3:56,Rock
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock
40,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock
41,2000,"Dion, Celine",That's The Way It Is,4:03,Rock
42,2000,Blink-182,All The Small Things,2:52,Rock
43,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica
44,2000,"Badu, Erkyah",Bag Lady,5:03,Rock
45,2000,Pink,There U Go,3:23,Rock
46,2000,Creed,Higher,5:16,Rock
47,2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap
48,2000,Next,Wifey,4:03,Rock
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz
50,2000,Sonique,It Feels So Good,3:48,Rock
51,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock
53,2000,Everclear,Wonderful,4:30,Rock
54,2000,Ja Rule,Between Me And You,4:05,Rap
55,2000,"Rimes, LeAnn",I Need You,3:42,Country
